"Type","Title","Country","Year","Rating","Genre","Synopsis"
"Movie","The Starling","United States","2021","PG-13","Comedy","A woman adjusting to life after a loss contends with a feisty bird that's taken over her garden — and a husband who's struggling to find a way forward."
"Movie","Angamaly Diaries","India","2017","TV-14","Action & Adventure","After growing up amidst the gang wars of his hometown, Vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law."
"Movie","A Champion Heart","United States","2018","G","Children & Family Movies","When a grieving teen must work off her debt to a ranch, she cares for a wounded horse that teaches her more about healing than she expected."
"Movie","Anjaam","India","1994","TV-14","Drama","A wealthy industrialist’s dangerous obsession with a flight attendant destroys her world, until she takes matters into her own hands to exact revenge."
"Movie","Bright Star","United Kingdom","2009","PG","Drama","This drama details the passionate three-year romance between Romantic poet John Keats – who died tragically at age 25 – and his great love and muse."
"Movie","Dhanak","India","2015","TV-PG","Comedy","A movie-loving 10-year-old and her blind little brother trek to meet Indian superstar Shah Rukh Khan for help in getting the boy an eye operation."
"Movie","Gurgaon","India","2017","TV-14","Drama","When the daughter of a wealthy family returns from college, she gets a frosty welcome from her brother, who has problems – and plans – of his own."
"Movie","In the Cut","United Kingdom","2003","R","Thriller","After embarking on an affair with the cop probing the murder of a young woman, an insular schoolteacher suspects her lover was involved in the crime."
"Movie","Shikara","India","2020","TV-14","Drama","A couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp."
"Movie","A Cinderella Story","United States","2004","PG","Children & Family Movies","Teen Sam meets the boy of her dreams at a dance before returning to toil in her stepmother's diner. Can her lost cell phone bring them together?"
"Movie","Je Suis Karl","Germany","2021","TV-MA","Drama","After most of her family is murdered in a terrorist bombing, a young woman is unknowingly lured into joining the very group that killed them."
"Movie","An Unfinished Life","Germany","2005","PG-13","Drama","A grieving widow and her daughter move in with her estranged father-in-law in Wyoming, where time allows them to heal and forgive."
"Movie","Blade Runner: The Final Cut","United States","1982","R","Action & Adventure","In a smog-choked dystopian Los Angeles, blade runner Rick Deckard is called out of retirement to snuff a quartet of escaped ""replicants."""
"Movie","Chappie","South Africa","2015","R","Action & Adventure","In a futuristic society where an indestructible robot police force keeps crime at bay, a lone droid evolves to the next level of artificial intelligence."
"Movie","Clear and Present Danger","United States","1994","PG-13","Action & Adventure","When the president's friend is murdered, CIA Deputy Director Jack Ryan becomes unwittingly involved in an illegal war against a Colombian drug cartel."
"Movie","Cliffhanger","United States","1993","R","Action & Adventure","Ranger Gabe Walker and his partner are called to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers."
"Movie","Cold Mountain","United States","2003","R","Drama","This drama follows a wounded Civil War soldier making the long journey home, while his faraway love fights for survival on her deceased father's farm."
"Movie","Crocodile Dundee in Los Angeles","Australia","2001","PG","Action & Adventure","When Mick ""Crocodile"" Dundee and his family land in Los Angeles, they soon learn some lessons about American life in this comedy sequel."
"Movie","Dear John","United States","2010","PG-13","Romance","While on summer leave, a U.S. soldier falls for a college student. But when he's forced to reenlist, their handwritten letters hold the lovers together."
"Movie","Do the Right Thing","United States","1989","R","Classic Movies","On a sweltering day in Brooklyn, simmering racial tensions between residents rise to the surface and ignite rage, violence and tragedy."
"Movie","El patrón, radiografía de un crimen","Argentina","2014","TV-MA","Thriller","A lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in Buenos Aires led to tragedy. Based on a true case."
"Movie","Extraction","United States","2015","R","Action & Adventure","When a retired CIA agent is kidnapped, his son, a government analyst, embarks on an unauthorized mission to find him and halt a terrorist plot."
"Movie","Freedom Writers","Germany","2007","PG-13","Drama","While her at-risk students are reading classics such as ""The Diary of Anne Frank,"" a teacher asks them to keep journals about their troubled lives."
"Movie","Green Lantern","United States","2011","PG-13","Action & Adventure","Test pilot Hal Jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat."
"Movie","House Party","United States","1990","R","Comedy","Grounded by his strict father, Kid risks life and limb to go to his best friend Play's big bash but experiences one obstacle after another."
"Movie","House Party 2","United States","1991","R","Comedy","Kid goes off to college with scholarship money but when Play loses Kid's tuition funds to a shady music promoter, they devise a wild plan to raise cash."
"Movie","House Party 3","United States","1994","R","Comedy","After Kid gets engaged, Play plans to throw the biggest bachelor party ever. But every celebration for these two always comes with complications."
"Movie","I Got the Hook Up","United States","1998","R","Action & Adventure","After getting their hands on a misdirected shipment of cell phones, two hustlers try to cash in by hawking the merchandise from the back of their van."
"Movie","In Too Deep","United States","1999","R","Thriller","Rookie cop Jeffrey Cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery, intimidation and murder."
"Movie","Initial D","China","2005","TV-14","Action & Adventure","By day, an 18-year-old delivers tofu for his father, a retired race car driver; but by night, it's the teen's turn to take the wheel."
"Movie","Janoskians: Untold and Untrue","United States","2016","TV-MA","Comedy","Follow the story of three Australian brothers and their two friends who became an international sensation by posting pranks and gags on YouTube."
"Movie","Labyrinth","United Kingdom","1986","PG","Action & Adventure","In Jim Henson's fantasy, teen Sarah embarks on a life-altering quest to rescue her little brother from the clutches of a treacherous goblin."
"Movie","Letters to Juliet","United States","2010","PG","Comedy","By responding to a letter addressed to Shakespeare's tragic heroine Juliet Capulet, an American woman in Verona, Italy, is led in search of romance."
"Movie","Level 16","Canada","2018","TV-14","Sci-Fi ","In a bleak academy that teaches girls the virtues of passivity, two students uncover the ghastly purpose behind their training and resolve to escape."
"Movie","Love Don't Cost a Thing","United States","2003","PG-13","Comedy","A nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend."
"Movie","Love in a Puff","Hong Kong","2010","TV-MA","Comedy","When the Hong Kong government enacts a ban on smoking cigarettes indoors, the new law drives hard-core smokers outside, facilitating unlikely connections."
"Movie","Mars Attacks!","United States","1996","PG-13","Comedy","As flying saucers head for Earth, the president of the United States prepares to welcome alien visitors but soon learns they're not coming in peace."
"Movie","Marshall","United States","2017","PG-13","Drama","This biopic of Thurgood Marshall, the first Black U.S. Supreme Court justice, centers on his pivotal work in a sensational case as an NAACP lawyer."
"Movie","My Boss's Daughter","United States","2003","R","Comedy","A young man house-sits for his mean boss, hoping to use it as an opportunity to win the heart of the boss's daughter, on whom he's long had a crush."
"Movie","Mystery Men","United States","1999","PG-13","Action & Adventure","A team of far-from-super heroes try to earn respect by springing into action when brave and dashing Captain Amazing disappears."
"Movie","Once Upon a Time in America","Italy","1984","R","Classic Movies","Director Sergio Leone's sprawling crime epic follows a group of Jewish mobsters who rise in the ranks of organized crime in 1920s New York City."
"Movie","Open Season 2","Canada","2008","PG","Children & Family Movies","Elliot the buck and his forest-dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity."
"Movie","Osmosis Jones","United States","2001","PG","Action & Adventure","Peter and Bobby Farrelly outdo themselves with this partially animated tale about an out-of-shape 40-year-old man who's the host to various organisms."
"Movie","Poseidon","United States","2006","PG-13","Action & Adventure","A tidal wave spells disaster for a ship of New Year's Eve revelers when it capsizes the mammoth vessel, sending passengers into a battle for survival."
"Movie","Rhyme & Reason","United States","1997","R","Documentaries","The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
"Movie","Same Kind of Different as Me","United States","2017","PG-13","Drama","A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story."
"Movie","School of Rock","United States","2003","PG-13","Comedy","Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
"Movie","Snervous Tyler Oakley","United States","2015","PG-13","Documentaries","The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
"Movie","Tears of the Sun","United States","2003","R","Action & Adventure","A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
"Movie","The Blue Lagoon","United States","1980","R","Romance","Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
"Movie","The Golden Child","United States","1986","PG-13","Action & Adventure","A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers."
"Movie","The Guns of Navarone","United Kingdom","1961","TV-14","Action & Adventure","During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
"Movie","The Interview","United States","2014","R","Action & Adventure","Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un."
"Movie","The Nutty Professor","United States","1996","PG-13","Comedy","After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
"Movie","Welcome Home Roscoe Jenkins","United States","2008","PG-13","Comedy","R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
"Movie","In the Line of Fire","United States","1993","R","Action & Adventure","A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy."
"Movie","2 Alone in Paris","France","2008","TV-MA","Comedy","A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
"Movie","Thimmarusu","India","2021","TV-14","International Movies","Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
"Movie","Wind River","United Kingdom","2017","R","Drama","A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation."
"Movie","C Kkompany","India","2008","TV-14","Action & Adventure","Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
"Movie","EMI: Liya Hai To Chukana Padega","India","2008","TV-14","Comedy","A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans."
"TV Show","King of Boys: The Return of the King","Nigeria","2021","TV-MA","Crime TV Shows","Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
"Movie","Koi Aap Sa","India","2006","TV-14","Comedy","Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
"Movie","Krishna Cottage","India","2004","TV-14","Action & Adventure","True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller."
"Movie","Kucch To Hai","India","2003","TV-14","Thriller","A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
"Movie","Kyaa Kool Hai Hum","India","2005","TV-MA","Comedy","Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
"Movie","Kyaa Kool Hain Hum 3","India","2016","TV-MA","Comedy","When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
"Movie","Kyaa Super Kool Hain Hum","India","2012","TV-MA","Comedy","An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog."
"Movie","Kyo Kii... Main Jhuth Nahin Bolta","India","2001","TV-14","Comedy","The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie."
"Movie","LSD: Love, Sex Aur Dhokha","India","2010","TV-MA","Drama","This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India."
"Movie","Mission Istaanbul: Darr Ke Aagey Jeet Hai","India","2008","TV-14","Action & Adventure","A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station."
"Movie","Once Upon a Time in Mumbaai","India","2010","TV-14","International Movies","Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
"Movie","Once Upon a Time in Mumbai Dobaara!","India","2013","TV-14","International Movies","This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
"Movie","Ragini MMS","India","2011","TV-MA","Horror","A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity."
"Movie","Ragini MMS 2","India","2014","TV-MA","Horror","The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house."
"Movie","Shootout at Lokhandwala","India","2007","TV-MA","Action & Adventure","Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
"Movie","Shor In the City","India","2011","TV-14","Comedy","When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger."
"Movie","The Dirty Picture","India","2011","TV-14","Comedy","After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
"Movie","Really Love","United States","2020","TV-MA","Drama","A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student."
"Movie","The November Man","United States","2014","R","Action & Adventure","An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
"Movie","The Old Ways","United States","2020","TV-MA","Horror","A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
"Movie","The Water Man","United States","2021","PG","Children & Family Movies","Desperate to save his ailing mother, 11-year-old Gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death."
"Movie","Sweet Girl","United States","2021","R","Action & Adventure","He lost the love of his life to a pharmaceutical company's greed. Now his daughter is without a mother, and he's without justice. For now."
"Movie","Jeans","India","1998","TV-14","Comedy","When the father of the man she loves insists that his twin sons marry twin sisters, a woman creates an alter ego that might be a bit too convincing."
"Movie","Like Crazy","United States","2011","PG-13","Drama","A spirited exchange student and an American man fall in love in LA. But their romance faces an uphill battle when she is forced to return to England."
"Movie","Bombay","India","1995","TV-14","International Movies","Years after they elope against their family’s wishes, a couple and their sons become caught in the throes of conflict in their city."
"Movie","Pahuna","India","2018","TV-PG","Comedy","Fleeing unrest in their native Nepal, three young siblings separated from their parents must beat the odds to survive on their own in India."
"Movie","Walk of Shame","United States","2014","R","Comedy","After a night of boozy carousing, a local newscaster finds herself stranded on the streets of LA just hours before the job interview of a lifetime."
"Movie","The Piano","New Zealand","1993","R","Classic Movies","With her daughter and her beloved piano in tow, a mute Scottish woman arrives in New Zealand, where a gruff loner sets out to seduce her."
"Movie","Beckett","Italy","2021","TV-MA","Action & Adventure","An American tourist goes on the run in Greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination."
"TV Show","Gone for Good","France","2021","TV-MA","Crime TV Shows","Ten years after losing two loved ones, a man is plunged into another dizzying mystery when his girlfriend vanishes. Based on a Harlan Coben novel."
"TV Show","Valeria","Spain","2021","TV-MA","International Movies","A writer in creative and marital crises finds support from three friends, who are also discovering themselves. Based on the novels by Elísabet Benavent."
"Movie","Lokillo: Nothing's the Same","Colombia","2021","TV-MA","Stand-Up Comedy","Through songs and puns, comedian Lokillo Florez hilariously reviews how Latin Americans have adjusted to a new world where no-hugging policies prevail."
"Movie","Grown Ups","United States","2010","PG-13","Comedy","Mourning the loss of their beloved junior high basketball coach, five middle-aged pals reunite at a lake house and rediscover the joys of being a kid."
"Movie","Monster Hunter: Legends of the Guild","United States","2021","TV-PG","Action & Adventure","In a world where humans and fearsome monsters live in an uneasy balance, young hunter Aiden fights to save his village from destruction by a dragon."
"Movie","Brother Jekwu","Nigeria","2016","TV-14","Comedy","Chasing wild success, a village hustler follows his cousin from Nigeria to Kenya and stumbles into the shady business affairs of a notorious overlord."
"Movie","La diosa del asfalto","Mexico","2020","TV-MA","Drama","A woman from a tough neighborhood outside Mexico City comes home a rock star, inadvertently provoking a confrontation with the ghosts of her past."
"Movie","The Kissing Booth 3","United Kingdom","2021","TV-14","Comedy","Determined to make the most of her final summer before college, Elle plans the ultimate bucket list as she navigates what comes next with Noah and Lee."
"Movie","The Railway Man","Switzerland","2013","R","International Movies","Decades after World War II, a still-shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus."
"Movie","Dark Skies","United States","2013","PG-13","Horror","A family’s idyllic suburban life shatters when an alien force invades their home, and as they struggle to convince others of the deadly threat."
"Movie","Quartet","United Kingdom","2012","PG-13","Comedy","To save their posh retirement home, former opera stars plan a gala recital — until the biggest diva among them refuses to sing."
"Movie","Slay","South Africa","2021","TV-MA","Comedy","In pursuit of both success and validation, a group of tech-savvy individuals juggle intimate encounters, first impressions and romantic opportunities."
"Movie","The Paper Tigers","United States","2021","PG-13","Action & Adventure","After reuniting as middle-aged men, three kung-fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor."
"TV Show","Navarasa","India","2021","TV-MA","TV Shows","From amusement to awe, the nine human emotions of Indian aesthetic theory are explored in this anthology series."
"Movie","Quam's Money","Nigeria","2020","TV-MA","Comedy","In this sequel to ""New Money,"" Quam, a security guard turned multimillionaire, lives the good life with his fortune until he falls victim to fraud."
"Movie","Paranoia","United States","2013","PG-13","Thriller","Blackmailed by his company's CEO, a low-level employee finds himself forced to spy on the boss's rival and former mentor."
"Movie","The Swarm","France","2021","TV-14","Horror","A single mother breeds locusts as high-protein food, but has trouble getting them to reproduce — until she finds they have a taste for blood."
"Movie","Vivo","Canada","2021","PG","Children & Family Movies","A music-loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend."
"Movie","Chennai Express","India","2013","TV-14","Action & Adventure","What could have been a sad journey turns joyful for Rahul when he falls in love with a woman en route to submerging his grandfather's ashes."
"Movie","Esperando la carroza","Argentina","1985","TV-MA","Comedy","Cora has three sons and a daughter and she´s almost 80. One day during a family reunion the big question comes up: who will be her heir?"
"Movie","Lady Boss: The Jackie Collins Story","United Kingdom","2021","TV-14","Documentaries","""Queen of Sleaze"" or feminist pioneer? Powerhouse novelist Jackie Collins created a brash sex-positive persona while hiding her private struggles."
"Movie","Tango Feroz","Argentina","1993","TV-MA","Classic Movies","One of the first rock stars in Argentina, Tango leads a full life during an era of social unrest – one of both glory and despair."
"Movie","'76","Nigeria","2016","TV-PG","International Movies","When her husband is accused of taking part in an attempted military coup, a pregnant woman's life takes an emotional turn. Inspired by true events."
"Movie","Aftermath","United States","2021","TV-MA","Horror","Desperate to save their marriage, a young couple takes a deal and moves into their dream home, but disturbing events reveal the house's troubled history."
"Movie","American Masters: Inventing David Geffen","United States","2012","TV-MA","Movies","The son of Jewish immigrants, David Geffen emerged from a humble upbringing to become one of the most powerful media personalities in America."
"Movie","Heavy","United States","1995","R","Drama","Overweight Victor hides from the world making pizzas in his mother's gloomy dive until a new waitress blows in and disrupts his isolation."
"Movie","Ije: The Journey","United States","2010","TV-MA","International Movies","When her sister is accused of multiple murders, a Nigerian woman travels to Los Angeles to uncover the truth and fight for her sibling’s freedom."
"TV Show","Office Girls","Taiwan","2011","TV-14","International Movies","A department store mogul has his son work incognito in a menial job to prove his worthiness, while female co-workers teach him how normal people live."
"Movie","Beethoven","United States","1992","PG","Children & Family Movies","A father reluctantly agrees to let his children keep a St. Bernard puppy, but the playful pooch soon turns into a full-grown engine of destruction."
"Movie","Beethoven's 2nd","United States","1993","PG","Children & Family Movies","After St. Bernard Beethoven sires a brood with Missy, he and the Newton kids must intervene when Missy's owner tries to sell the puppies."
"Movie","Beowulf","United States","2007","PG-13","Action & Adventure","This deftly animated take on a legendary Old English epic tells the timeless tale of a Scandinavian hero who's known for slaying dragons."
"Movie","Boyka: Undisputed","Bulgaria","2016","R","Action & Adventure","The fourth film in the action franchise finds Boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring."
"Movie","Catch Me If You Can","United States","2002","PG-13","Drama","An FBI agent makes it his mission to put cunning con man Frank Abagnale Jr. behind bars. But Frank not only eludes capture, he revels in the pursuit."
"Movie","Cloudy with a Chance of Meatballs","United States","2009","PG","Children & Family Movies","When inventor Flint Lockwood makes clouds rain food, the citizens of Chewandswallow can feed themselves. But a bowl of disaster is about to overflow."
"Movie","Deep Blue Sea","United States","1999","R","Action & Adventure","Scientists conduct research on sharks in search of an Alzheimer's cure. But a dangerous shortcut leads to huge sharks with near-human intelligence."
"Movie","Ferris Bueller's Day Off","United States","1986","PG-13","Classic Movies","After faking an illness to skip school, popular teen Ferris Bueller enjoys a fun-filled day in Chicago with his girlfriend and his uptight best friend."
"Movie","Five Feet Apart","United States","2019","PG-13","Romance","A teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient."
"Movie","Freedomland","United States","2006","R","Thriller","When a woman reports that her infant son was kidnapped by a black man, an African American detective and a white activist team up to dig for details."
"Movie","Good Luck Chuck","United States","2007","R","Comedy","Every time Chuck breaks up with a girlfriend, she ends up engaged to her next boyfriend. Soon, women are dating Chuck in hopes of meeting Mr. Right."
"Movie","Inception","United States","2010","PG-13","Action & Adventure","A troubled thief who extracts secrets from people's dreams takes one last job: leading a dangerous mission to plant an idea in a target's subconscious."
"Movie","Magnolia","United States","1999","R","Drama","Through chance, history and divine intervention, a cast of eclectic characters weaves and warps through each other's lives on a random day in California."
"Movie","Major Payne","United States","1995","PG-13","Comedy","A hardened Marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior ROTC competition."
"Movie","My Girl","United States","1991","PG-13","Drama","This coming-of-age charmer follows a summer in the life of an 11-year-old girl who learns about love and loss as she grapples with profound changes."
"Movie","My Girl 2","United States","1994","PG","Children & Family Movies","A teen makes surprising discoveries when she talks to her dead mother's high school friends for an essay about someone she admires but has never met."
"Movie","Open Season: Scared Silly","United States","2015","PG","Children & Family Movies","When a spooky werewolf tale scares Boog out of joining the annual camping trip, his friends hatch a plan to cure him of his fear."
"Movie","Pineapple Express","United States","2008","R","Action & Adventure","After witnessing a murder, a perpetually stoned process server and his good-natured dealer go on the run from a drug lord who's out to kill them."
"Movie","Planet 51","Spain","2009","PG","Children & Family Movies","After landing on a planet reminiscent of 1950s suburbia, a human astronaut tries to avoid capture, recover his spaceship and make it home safely."
"Movie","Poms","United Kingdom","2019","PG-13","Comedy","After moving to a retirement community, loner Martha befriends a fun-loving neighbor and forms a cheerleading club for young-at-heart seniors."
"Movie","Seabiscuit","United States","2003","PG-13","Drama","An ungainly-looking colt becomes a winning thoroughbred in this Depression-era drama based on the true story of champion racehorse Seabiscuit."
"Movie","Space Cowboys","United States","2000","PG-13","Action & Adventure","A retired engineer agrees to help NASA prevent a Russian satellite from falling to Earth if he and his over-the-hill pals can man the mission."
"Movie","Team America: World Police","United States","2004","R","Action & Adventure","In this musical satire, an all-marionette police force takes on the challenging role of keeping the peace on a troubled planet."
"Movie","The Edge of Seventeen","United States","2016","R","Comedy","A troubled teenager finds high school life even less bearable after she catches her childhood best friend hooking up with her popular older brother."
"Movie","The Haunting in Connecticut 2: Ghosts of Georgia","United States","2013","R","Horror","A couple's Georgia dream home becomes a living nightmare when their daughter begins to have frightening visions from the property's terrible past."
"Movie","The Last Boy Scout","United States","1991","R","Action & Adventure","Private eye Joe Hallenbeck is forced to team up with a disgraced quarterback to uncover a conspiracy by a politician and a football team owner."
"Movie","The Lincoln Lawyer","United States","2011","R","Thriller","A street-wise defense lawyer who operates out of the back seat of his Lincoln lands a high-profile case that soon puts him and his family in danger."
"Movie","The Losers","United States","2010","PG-13","Action & Adventure","After a search-and-destroy mission leads to betrayal, an elite black ops squad seeks revenge. But they must remain deep undercover to even the score."
"Movie","The Machinist","Spain","2004","R","Drama","Haunted and gaunt after a prolonged bout of insomnia, factory worker Trevor Reznik begins to question his sanity amid a series of mysterious events."
"Movie","The Net","United States","1995","PG-13","Thriller","A computer analyst becomes a target after she stumbles onto a conspiracy via a mysterious floppy disk, forcing her to go on the run to clear her name."
"Movie","The Original Kings of Comedy","United States","2000","R","Stand-Up Comedy","Comedians Steve Harvey, Cedric the Entertainer, D.L. Hughley and Bernie Mac hit the stage in an iconic stand-up concert directed by Spike Lee."
"Movie","Valentine's Day","United States","2010","PG-13","Comedy","The tripwires of modern love are exposed in a carousel involving relationships and the single life on the most romantic day of the year: February 14."
"Movie","Eyes of a Thief","France","2014","TV-14","Drama","After a decade in prison, a Palestinian man with a dark secret returns to the West Bank and searches for the daughter he lost long ago."
"Movie","Flower Girl","Nigeria","2013","TV-PG","Comedy","When a young florist who's long dreamed of her wedding day gets dumped by her boyfriend, she sets out to win him back with help from a handsome actor."
